sepaSite,date,weeklyAverageAf,actualBiomassOnSiteTonnes,maximumBiomassAllowedTonnes,total_AF
SAR1,2017-12-21,0.09714285714285714,246.22580645161293,1500,0
SAR1,2017-12-22,0.10142857142857142,240.3870967741935,1500,0
SAR1,2017-12-23,0.1057142857142857,234.54838709677415,1500,0
SAR1,2017-12-24,0.11,228.70967741935485,1500,0
SAR1,2017-12-25,0.10928571428571428,222.8709677419355,1500,0
SAR1,2017-12-26,0.10857142857142855,217.03225806451613,1500,0
SAR1,2017-12-27,0.10785714285714286,211.19354838709677,1500,0
SAR1,2017-12-28,0.10714285714285716,205.3548387096774,1500,0
SAR1,2017-12-29,0.10642857142857144,199.51612903225808,1500,0
SAR1,2017-12-30,0.10571428571428572,193.67741935483872,1500,0
SAR1,2017-12-31,0.105,187.83870967741936,1500,0
SAR1,2018-01-01,0.1,182,1500,0
SAR1,2018-01-02,0.10214285714285716,176.1290322580645,1500,0
SAR1,2018-01-03,0.10428571428571427,170.25806451612902,1500,0
SAR1,2018-01-04,0.10642857142857144,164.38709677419354,1500,0
SAR1,2018-01-05,0.10857142857142855,158.51612903225805,1500,0
SAR1,2018-01-06,0.11071428571428572,152.6451612903226,1500,0
SAR1,2018-01-07,0.11285714285714284,146.7741935483871,1500,0
SAR1,2018-01-08,0.115,140.90322580645162,1500,0
SAR1,2018-01-09,0.11428571428571428,135.03225806451613,1500,0
SAR1,2018-01-10,0.11357142857142856,129.16129032258064,1500,0
SAR1,2018-01-11,0.11285714285714284,123.29032258064515,1500,0
SAR1,2018-01-12,0.11214285714285714,117.41935483870968,1500,0
SAR1,2018-01-13,0.11142857142857145,111.5483870967742,1500,0
SAR1,2018-01-14,0.11071428571428572,105.6774193548387,1500,0
SAR1,2018-01-15,0.11,99.80645161290325,1500,0
SAR1,2018-01-16,0.11285714285714286,93.93548387096774,1500,0
SAR1,2018-01-17,0.11571428571428571,88.06451612903226,1500,0
SAR1,2018-01-18,0.11857142857142858,82.19354838709678,1500,0
SAR1,2018-01-19,0.12142857142857144,76.32258064516128,1500,0
SAR1,2018-01-20,0.12428571428571428,70.45161290322581,1500,0
SAR1,2018-01-21,0.12714285714285714,64.58064516129032,1500,0
SAR1,2018-01-22,0.13,58.70967741935485,1500,0
SAR1,2018-01-23,0.13285714285714287,52.83870967741936,1500,0
SAR1,2018-01-24,0.1357142857142857,46.96774193548387,1500,0
SAR1,2018-01-25,0.13857142857142857,41.096774193548384,1500,0
SAR1,2018-01-26,0.14142857142857143,35.225806451612925,1500,0
SAR1,2018-01-27,0.1442857142857143,29.35483870967741,1500,0
SAR1,2018-01-28,0.14714285714285713,23.48387096774192,1500,0
SAR1,2018-01-29,0.15,17.612903225806463,1500,0
SAR1,2018-01-30,0.15,11.741935483870977,1500,0
SAR1,2018-01-31,0.15,5.8709677419354875,1500,0
SAR1,2018-02-01,0.15,0,1500,0
SAR1,2018-02-02,0.15,0,1500,0
SAR1,2018-02-03,0.15,0,1500,0
SAR1,2018-02-04,0.15,0,1500,0
SAR1,2018-02-05,0.15,0,1500,0
SAR1,2018-02-06,0.1442857142857143,0,1500,0
SAR1,2018-02-07,0.13857142857142857,0,1500,0
SAR1,2018-02-08,0.13285714285714284,0,1500,0
SAR1,2018-02-09,0.12714285714285714,0,1500,0
SAR1,2018-02-10,0.12142857142857144,0,1500,0
SAR1,2018-02-11,0.11571428571428571,0,1500,0
SAR1,2018-02-12,0.11,0,1500,0
SAR1,2018-02-13,0.10857142857142855,0,1500,0
SAR1,2018-02-14,0.10714285714285716,0,1500,0
SAR1,2018-02-15,0.10571428571428572,0,1500,0
SAR1,2018-02-16,0.10428571428571427,0,1500,0
SAR1,2018-02-17,0.10285714285714286,0,1500,0
SAR1,2018-02-18,0.10142857142857144,0,1500,0
SAR1,2018-02-19,0.1,0,1500,0
SAR1,2018-02-20,0.10142857142857144,0,1500,0
SAR1,2018-02-21,0.10285714285714286,0,1500,0
SAR1,2018-02-22,0.10428571428571427,0,1500,0
SAR1,2018-02-23,0.10571428571428572,0,1500,0
SAR1,2018-02-24,0.10714285714285716,0,1500,0
SAR1,2018-02-25,0.10857142857142855,0,1500,0
SAR1,2018-02-26,0.11,0,1500,0
SAR1,2018-02-27,0.10857142857142855,0,1500,0
SAR1,2018-02-28,0.10714285714285716,0,1500,0
SAR1,2018-03-01,0.10571428571428572,0,1500,0
SAR1,2018-03-02,0.10428571428571427,0,1500,0
SAR1,2018-03-03,0.10285714285714286,0,1500,0
SAR1,2018-03-04,0.10142857142857144,0,1500,0
SAR1,2018-03-05,0.1,0,1500,0
SAR1,2018-03-06,0.10285714285714286,0,1500,0
SAR1,2018-03-07,0.10571428571428572,0,1500,0
SAR1,2018-03-08,0.10857142857142855,0,1500,0
SAR1,2018-03-09,0.11142857142857145,0,1500,0
SAR1,2018-03-10,0.11428571428571428,0,1500,0
SAR1,2018-03-11,0.11714285714285712,0,1500,0
SAR1,2018-03-12,0.12,0,1500,0
SAR1,2018-03-13,0.11142857142857145,0,1500,0
SAR1,2018-03-14,0.10285714285714286,0,1500,0
SAR1,2018-03-15,0.09428571428571428,0,1500,0
SAR1,2018-03-16,0.08571428571428572,0,1500,0
SAR1,2018-03-17,0.07714285714285714,0,1500,0
SAR1,2018-03-18,0.06857142857142857,0,1500,0
SAR1,2018-03-19,0.06,0,1500,0
SAR1,2018-03-20,0.05857142857142857,0,1500,0
SAR1,2018-03-21,0.05714285714285714,0,1500,0
SAR1,2018-03-22,0.05571428571428571,0,1500,0
SAR1,2018-03-23,0.05428571428571428,0,1500,0
SAR1,2018-03-24,0.05285714285714286,0,1500,0
SAR1,2018-03-25,0.05142857142857143,0,1500,0
SAR1,2018-03-26,0.05,0,1500,0
SAR1,2018-03-27,0.05428571428571428,0,1500,0
SAR1,2018-03-28,0.05857142857142857,0,1500,0
SAR1,2018-03-29,0.06285714285714286,0,1500,0
SAR1,2018-03-30,0.06714285714285714,0,1500,0
SAR1,2018-03-31,0.07142857142857142,0,1500,0
SAR1,2018-04-01,0.0757142857142857,336,1500,27257.142857142855
SAR1,2018-04-02,0.08,336.53333333333336,1500,28800
SAR1,2018-04-03,0.07857142857142857,337.06666666666666,1500,28285.714285714286
SAR1,2018-04-04,0.07714285714285715,337.6,1500,27771.428571428572
SAR1,2018-04-05,0.07571428571428572,338.1333333333333,1500,27257.14285714286
SAR1,2018-04-06,0.07428571428571429,338.6666666666667,1500,26742.857142857145
SAR1,2018-04-07,0.07285714285714286,339.2,1500,26228.571428571428
SAR1,2018-04-08,0.07142857142857144,339.73333333333335,1500,25714.285714285717
SAR1,2018-04-09,0.07,340.26666666666665,1500,25200.000000000004
SAR1,2018-04-10,0.07428571428571429,340.8,1500,26742.857142857145
SAR1,2018-04-11,0.07857142857142857,341.3333333333333,1500,28285.714285714286
SAR1,2018-04-12,0.08285714285714287,341.8666666666667,1500,29828.57142857143
SAR1,2018-04-13,0.08714285714285715,342.4,1500,31371.428571428572
SAR1,2018-04-14,0.09142857142857144,342.93333333333334,1500,32914.28571428572
